,oct-25,nov-25,categorias
OPERADOR INICIAL,"$ 739.993,51","$ 748.133,43",5
OPERADOR SATELITAL Y DE SERVICIOS - NIVEL A,"$ 810.088,63","$ 818.999,61",6
OPERADOR SATELITAL Y DE SERVICIOS - NIVEL B,"$ 889.425,72","$ 899.209,41",7
OPERADOR SATELITAL Y DE SERVICIOS - NIVEL C,"$ 968.839,19","$ 979.496,42",8
OPERADOR SATELITAL Y DE SERVICIOS - NIVEL D,"$ 1.057.069,78","$ 1.068.697,55",9
TÉCNICO SATELITAL Y DE PLATAFORMA - NIVEL A,"$ 1.153.565,87","$ 1.166.255,10",10
TÉCNICO SATELITAL Y DE PLATAFORMA - NIVEL B,"$ 1.267.789,56","$ 1.281.735,24",11
TÉCNICO SATELITAL Y DE PLATAFORMA - NIVEL C,"$ 1.393.596,88","$ 1.408.926,45",12
INGENIERÍA SATELITAL Y DE PLATAFORMA - NIVEL A,"$ 1.523.901,81","$ 1.540.664,73",13
INGENIERÍA SATELITAL Y DE PLATAFORMA - NIVEL B,"$ 1.663.516,06","$ 1.681.814,74",14
ESPECIALISTA DE ESTACIONES TERRENAS - NIVEL A,"$ 1.794.669,62","$ 1.814.410,99",15
ESPECIALISTA DE ESTACIONES TERRENAS - NIVEL B,"$ 1.886.477,26","$ 1.907.228,51",16
ESPECIALISTA DE ESTACIONES TERRENAS - NIVEL C,"$ 2.041.377,49","$ 2.063.832,65",17
ESPECIALISTA EN INGENIERÍA SATELITAL Y PLATAFORMA - NIVEL A,"$ 2.234.683,02","$ 2.259.264,53",18
ESPECIALISTA EN INGENIERÍA SATELITAL Y PLATAFORMA - NIVEL B,"$ 2.483.172,96","$ 2.510.487,86",19
ESPECIALISTA EN INGENIERÍIA SATELITAL Y PLATAFORMA - NIVEL C,"$ 2.743.893,06","$ 2.774.075,89",20
EXPERTO EN INGENIERÍIA SATELITAL Y PLATAFORMA - NIVEL A,"$ 3.088.357,35","$ 3.122.329,28",21
EXPERTO EN INGENIERÍIA SATELITAL Y PLATAFORMA - NIVEL B,"$ 3.411.656,47","$ 3.449.184,69",22